class,gender,age,bodyType,profession,pregnant,isYou,species,isPet,role
scenario:red,,,,,,,,,
person,male,70,overweight,none,false,false,,,passenger
person,male,69,overweight,none,false,false,,,passenger
person,female,73,athletic,none,false,false,,,passenger
person,female,97,overweight,none,false,false,,,passenger
person,female,7,overweight,none,false,false,,,pedestrian
person,female,14,athletic,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,83,athletic,none,false,false,,,passenger
person,female,30,average,ceo,false,false,,,passenger
person,male,84,overweight,none,false,false,,,passenger
person,female,92,athletic,none,false,false,,,passenger
person,male,85,average,none,false,false,,,passenger
person,female,90,average,none,false,false,,,passenger
person,male,55,average,doctor,false,false,,,pedestrian
animal,female,13,average,,,,cat,false,pedestrian
animal,female,8,average,,,,ferret,false,pedestrian
person,male,43,athletic,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,47,athletic,homeless,false,false,,,passenger
person,male,35,athletic,unemployed,false,false,,,passenger
person,female,83,average,none,false,false,,,pedestrian
animal,female,10,athletic,,,,dog,false,pedestrian
animal,female,0,average,,,,ferret,true,pedestrian
person,male,19,overweight,unknown,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,99,athletic,none,false,false,,,passenger
animal,male,2,athletic,,,,ferret,false,passenger
person,male,28,athletic,homeless,false,false,,,passenger
animal,female,14,athletic,,,,cat,true,passenger
person,male,8,average,none,false,false,,,pedestrian
person,male,57,average,homeless,false,false,,,pedestrian
person,male,86,overweight,none,false,false,,,pedestrian
animal,female,12,athletic,,,,dog,false,pedestrian
person,female,67,overweight,unemployed,true,false,,,pedestrian
person,female,72,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,female,20,overweight,,,,dog,true,passenger
person,male,66,overweight,ceo,false,false,,,pedestrian
person,female,22,athletic,unknown,false,false,,,pedestrian
person,male,78,athletic,none,false,false,,,pedestrian
person,female,7,average,none,false,false,,,pedestrian
animal,female,14,overweight,,,,ferret,false,pedestrian
person,female,7,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,15,overweight,none,false,false,,,passenger
animal,female,1,average,,,,dog,false,pedestrian
person,female,49,athletic,ceo,true,false,,,pedestrian
animal,female,2,average,,,,dog,true,pedestrian
person,male,11,athletic,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,29,average,criminal,true,false,,,passenger
person,female,45,average,homeless,true,false,,,passenger
person,male,6,athletic,none,false,false,,,passenger
person,male,60,athletic,unknown,false,false,,,passenger
person,male,34,overweight,homeless,false,false,,,passenger
animal,female,7,overweight,,,,dog,false,passenger
person,male,64,average,ceo,false,false,,,passenger
person,male,35,overweight,doctor,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,male,11,average,,,,dog,true,passenger
animal,female,5,overweight,,,,dog,false,pedestrian
person,female,94,overweight,none,false,false,,,pedestrian
person,female,84,athletic,none,false,false,,,pedestrian
person,female,58,average,homeless,false,false,,,pedestrian
person,female,25,athletic,unemployed,false,false,,,pedestrian
animal,female,3,athletic,,,,ferret,false,pedestrian
person,female,29,overweight,homeless,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,48,average,ceo,false,false,,,passenger
person,male,92,athletic,none,false,false,,,passenger
person,male,58,overweight,ceo,false,false,,,passenger
person,male,19,overweight,homeless,false,false,,,passenger
person,female,84,overweight,none,false,false,,,passenger
person,female,73,athletic,none,false,false,,,pedestrian
animal,male,0,average,,,,cat,true,pedestrian
person,female,24,overweight,ceo,false,false,,,pedestrian
animal,male,13,overweight,,,,ferret,true,pedestrian
person,male,25,average,unknown,false,false,,,pedestrian
person,male,28,overweight,doctor,false,false,,,pedestrian
person,male,56,overweight,unemployed,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,female,9,average,,,,cat,true,passenger
animal,male,11,athletic,,,,ferret,false,passenger
person,male,78,average,none,false,false,,,passenger
person,female,4,athletic,none,false,false,,,passenger
person,female,17,overweight,doctor,false,false,,,passenger
person,female,37,average,doctor,false,false,,,passenger
person,female,53,overweight,homeless,true,false,,,pedestrian
person,female,57,overweight,criminal,false,false,,,pedestrian
person,male,45,overweight,ceo,false,false,,,pedestrian
person,female,14,athletic,none,false,false,,,pedestrian
person,female,4,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,female,3,overweight,,,,ferret,true,passenger
person,female,65,athletic,unemployed,true,false,,,passenger
person,female,98,average,none,false,true,,,pedestrian
person,male,16,average,none,false,false,,,pedestrian
animal,female,6,athletic,,,,dog,true,pedestrian
scenario:green,,,,,,,,,
person,female,85,athletic,none,false,false,,,passenger
person,male,27,athletic,homeless,false,false,,,passenger
person,male,7,overweight,none,false,false,,,passenger
person,male,35,average,doctor,false,false,,,passenger
person,male,45,average,unknown,false,false,,,pedestrian
person,female,30,average,ceo,false,false,,,pedestrian
person,female,57,athletic,homeless,true,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,85,overweight,none,false,false,,,passenger
person,male,22,overweight,homeless,false,false,,,passenger
person,female,86,overweight,none,false,false,,,passenger
person,female,11,average,none,false,false,,,passenger
person,female,64,overweight,unknown,true,true,,,pedestrian
person,male,78,overweight,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,female,13,athletic,none,false,false,,,passenger
person,male,40,average,unemployed,false,false,,,passenger
animal,female,0,average,,,,dog,true,passenger
person,male,61,average,homeless,false,false,,,passenger
person,male,99,overweight,none,false,false,,,passenger
animal,female,4,overweight,,,,ferret,true,passenger
person,male,52,average,ceo,false,false,,,passenger
animal,female,0,average,,,,cat,false,pedestrian
person,male,57,athletic,criminal,false,false,,,pedestrian
person,female,56,average,unknown,true,false,,,pedestrian
person,female,40,athletic,ceo,false,false,,,pedestrian
person,male,4,overweight,none,false,false,,,pedestrian
person,female,40,athletic,ceo,false,false,,,pedestrian
person,male,71,athletic,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,female,87,average,none,false,false,,,passenger
person,female,78,average,none,false,false,,,passenger
person,male,93,average,none,false,false,,,passenger
animal,female,4,average,,,,cat,false,passenger
person,male,84,overweight,none,false,false,,,pedestrian
animal,female,18,athletic,,,,cat,false,pedestrian
scenario:red,,,,,,,,,
person,male,93,athletic,none,false,true,,,passenger
person,female,81,average,none,false,false,,,passenger
person,male,87,athletic,none,false,false,,,pedestrian
person,female,0,athletic,none,false,false,,,pedestrian
person,female,63,average,criminal,false,false,,,pedestrian
person,female,81,average,none,false,false,,,pedestrian
person,male,0,overweight,none,false,false,,,pedestrian
person,female,22,athletic,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,30,average,homeless,false,false,,,passenger
animal,male,18,athletic,,,,cat,false,pedestrian
